#run_id,world_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,8,5,1,3,5,544,720,[<wan_i2v.WanGenTimer object at 0x7fb3502b05c0>]
2,8,5,4,3,5,544,720,0.093,0.022,0.028,0.094,1.164,0.103,0.013,1.592
2,8,5,5,3,5,544,720,0.093,0.021,0.028,0.094,1.455,0.105,0.013,1.882
2,8,5,10,3,5,544,720,0.093,0.022,0.028,0.093,2.925,0.122,0.014,3.371
2,8,5,20,3,5,544,720,0.092,0.024,0.029,0.093,5.839,0.147,0.014,6.312
2,8,5,50,3,5,544,720,0.094,0.021,0.028,0.094,14.544,0.227,0.014,15.094
2,8,9,1,3,9,544,720,0.091,0.021,0.058,0.155,0.297,0.158,0.053,0.933
2,8,9,2,3,9,544,720,0.091,0.021,0.056,0.155,0.592,0.160,0.053,1.227
2,8,9,4,3,9,544,720,0.095,0.021,0.057,0.155,1.193,0.164,0.053,1.838
2,8,9,5,3,9,544,720,0.092,0.020,0.059,0.155,1.482,0.169,0.053,2.129
2,8,9,10,3,9,544,720,0.093,0.024,0.058,0.156,2.959,0.185,0.053,3.627
2,8,9,20,3,9,544,720,0.092,0.021,0.057,0.155,5.915,0.212,0.053,6.605
2,8,9,50,3,9,544,720,0.092,0.022,0.057,0.156,14.838,0.295,0.053,15.612
2,8,21,1,3,21,544,720,0.092,0.022,0.330,0.157,0.376,0.162,0.435,1.674
2,8,21,2,3,21,544,720,0.092,0.021,0.328,0.157,0.753,0.167,0.435,2.056
2,8,21,4,3,21,544,720,0.092,0.022,0.327,0.157,1.503,0.178,0.435,2.816
2,8,21,5,3,21,544,720,0.093,0.021,0.328,0.157,1.877,0.184,0.435,3.196
2,8,21,10,3,21,544,720,0.092,0.021,0.327,0.157,3.754,0.210,0.435,5.098
2,8,21,20,3,21,544,720,0.092,0.024,0.328,0.157,7.497,0.268,0.435,8.902
2,8,21,50,3,21,544,720,0.093,0.021,0.327,0.157,18.751,0.433,0.436,20.321
2,8,41,1,3,41,544,720,0.094,0.023,0.777,0.157,0.635,0.169,1.076,3.038
2,8,41,2,3,41,544,720,0.093,0.021,0.779,0.157,1.275,0.181,1.077,3.687
2,8,41,4,3,41,544,720,0.092,0.021,0.777,0.157,2.546,0.206,1.076,4.980
2,8,41,5,3,41,544,720,0.093,0.022,0.778,0.157,3.177,0.219,1.077,5.625
2,8,41,10,3,41,544,720,0.093,0.022,0.778,0.157,6.371,0.283,1.076,8.884
2,8,41,20,3,41,544,720,0.094,0.021,0.780,0.157,12.754,0.406,1.077,15.393
2,8,41,50,3,41,544,720,0.093,0.022,0.778,0.157,31.806,0.782,1.077,34.822
2,8,61,1,3,61,544,720,0.092,0.021,1.214,0.158,0.990,0.179,1.720,4.479
2,8,61,2,3,61,544,720,0.093,0.021,1.224,0.157,1.967,0.200,1.719,5.484
2,8,61,4,3,61,544,720,0.092,0.022,1.229,0.158,3.915,0.242,1.719,7.480
2,8,61,5,3,61,544,720,0.092,0.021,1.226,0.157,4.900,0.263,1.720,8.483
2,8,61,10,3,61,544,720,0.093,0.020,1.224,0.157,9.790,0.370,1.720,13.480
2,8,61,20,3,61,544,720,0.092,0.022,1.212,0.158,19.587,0.586,1.718,23.482
2,8,61,50,3,61,544,720,0.092,0.021,1.227,0.157,48.965,1.228,1.720,53.516
2,8,81,1,3,81,544,720,0.093,0.022,1.678,0.157,1.361,0.187,2.363,5.968
2,8,81,2,3,81,544,720,0.092,0.022,1.675,0.157,2.717,0.218,2.363,7.350
2,8,81,4,3,81,544,720,0.093,0.022,1.676,0.157,5.423,0.280,2.362,10.120
2,8,81,5,3,81,544,720,0.092,0.022,1.679,0.157,6.780,0.312,2.362,11.510
