#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,4,4,1,5,1,3,5,544,720,0.321,0.403,0.143,0.032,4.412,0.035,0.045,5.489
0,4,4,1,81,10,3,81,544,720,0.082,0.021,1.481,0.136,24.298,0.805,2.097,29.018
0,4,4,1,81,50,3,81,544,720,0.088,0.022,1.499,0.137,121.964,3.107,2.102,129.018
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,2,2,1,5,1,3,5,544,720,0.285,0.386,0.141,0.032,1.346,0.037,0.045,2.368
0,2,2,1,81,10,3,81,544,720,0.075,0.019,1.487,0.137,46.764,1.383,2.102,52.058
0,2,2,1,81,50,3,81,544,720,0.083,0.022,1.489,0.137,233.711,5.993,2.098,243.625
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,4,4,1,5,1,3,5,544,720,0.332,0.400,0.142,0.031,4.254,0.034,0.046,5.337
0,4,4,1,81,10,3,81,544,720,0.078,0.020,1.494,0.137,24.288,0.817,2.106,29.030
0,4,4,1,81,50,3,81,544,720,0.086,0.022,1.498,0.137,121.996,3.108,2.110,129.052
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,4,4,1,5,1,3,5,544,720,0.313,0.411,0.142,0.033,4.296,0.036,0.047,5.373
0,4,4,1,81,10,3,81,544,720,0.080,0.020,1.498,0.137,24.179,0.810,2.094,28.911
0,4,4,1,81,50,3,81,544,720,0.085,0.022,1.499,0.137,121.462,3.101,2.099,128.502
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,1,1,1,5,1,3,5,544,720,0.280,0.371,0.135,0.031,0.474,0.077,0.044,1.523
0,1,1,1,81,10,3,81,544,720,0.062,0.019,1.321,0.136,81.527,8.216,2.108,93.480
0,1,1,1,81,50,3,81,544,720,0.066,0.020,1.323,0.137,407.311,40.223,2.100,451.272
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,2,2,1,5,1,3,5,544,720,0.295,0.384,0.138,0.032,1.338,0.037,0.044,2.366
0,2,2,1,81,10,3,81,544,720,0.075,0.019,1.487,0.136,46.883,1.391,2.095,52.200
0,2,2,1,81,50,3,81,544,720,0.083,0.021,1.490,0.137,234.562,6.025,2.095,244.527
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,16,8,2,5,1,3,5,544,720,0.371,0.406,0.147,0.032,11.903,0.040,0.046,13.059
0,16,8,2,81,10,3,81,544,720,0.114,0.020,1.487,0.135,8.864,0.431,2.084,13.254
0,16,8,2,81,50,3,81,544,720,0.093,0.024,1.483,0.136,43.668,1.033,2.095,48.648
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,1,1,1,5,1,3,5,544,720,0.277,0.356,0.136,0.032,0.474,0.077,0.044,1.526
0,1,1,1,81,10,3,81,544,720,0.062,0.019,1.321,0.136,81.270,8.181,2.102,93.182
0,1,1,1,81,50,3,81,544,720,0.063,0.020,1.323,0.138,407.471,40.276,2.104,451.499
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,8,8,1,5,1,3,5,544,720,0.344,0.475,0.147,0.032,11.007,0.036,0.046,12.184
0,8,8,1,81,10,3,81,544,720,0.082,0.021,1.506,0.137,12.737,0.544,2.078,17.198
0,8,8,1,81,50,3,81,544,720,0.088,0.021,1.504,0.137,64.127,1.607,2.081,69.668
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,8,8,1,5,1,3,5,544,720,0.352,0.401,0.143,0.031,11.111,0.036,0.045,12.219
0,8,8,1,81,10,3,81,544,720,0.088,0.020,1.480,0.136,13.063,0.565,2.091,17.563
0,8,8,1,81,50,3,81,544,720,0.089,0.022,1.498,0.137,65.378,1.648,2.095,70.992
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,8,8,1,5,1,3,5,544,720,0.364,0.415,0.143,0.030,11.067,0.034,0.045,12.200
0,8,8,1,81,10,3,81,544,720,0.083,0.019,1.492,0.137,12.922,0.559,2.077,17.408
0,8,8,1,81,50,3,81,544,720,0.086,0.021,1.494,0.137,64.692,1.639,2.084,70.266
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,8,8,1,5,1,3,5,544,720,0.356,0.418,0.146,0.031,11.280,0.035,0.046,12.412
0,8,8,1,81,10,3,81,544,720,0.084,0.020,1.497,0.137,12.854,0.553,2.092,17.325
0,8,8,1,81,50,3,81,544,720,0.088,0.021,1.502,0.138,64.443,1.626,2.100,70.010
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,8,8,1,5,1,3,5,544,720,0.348,0.478,0.148,0.029,11.398,0.033,0.046,12.580
0,8,8,1,81,10,3,81,544,720,0.082,0.021,1.508,0.136,12.916,0.559,2.098,17.416
0,8,8,1,81,50,3,81,544,720,0.089,0.021,1.509,0.137,64.916,1.618,2.106,70.490
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,8,8,1,5,1,3,5,544,720,0.360,0.440,0.148,0.031,10.776,0.035,0.048,11.936
0,8,8,1,81,10,3,81,544,720,0.085,0.022,1.510,0.136,12.937,0.561,2.101,17.456
0,8,8,1,81,50,3,81,544,720,0.091,0.022,1.510,0.137,65.002,1.625,2.105,70.599
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,32,8,4,5,1,3,5,544,720,0.377,0.475,0.150,0.028,12.469,0.033,0.051,13.684
0,32,8,4,81,10,3,81,544,720,0.090,0.022,1.504,0.136,7.433,0.377,2.084,11.757
0,32,8,4,81,50,3,81,544,720,0.102,0.021,1.505,0.136,34.713,0.759,2.090,39.445
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,80,8,10,5,1,3,5,544,720,0.465,0.483,0.150,0.030,12.788,0.037,0.048,14.110
0,80,8,10,81,10,3,81,544,720,0.205,0.022,1.489,0.136,9.005,0.409,2.078,13.471
0,80,8,10,81,50,3,81,544,720,0.184,0.021,1.494,0.137,42.450,0.869,2.084,47.368
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,64,8,8,5,1,3,5,544,720,0.405,0.462,0.151,0.029,13.078,0.033,0.051,14.315
0,64,8,8,81,10,3,81,544,720,0.131,0.022,1.501,0.136,6.934,0.353,2.081,11.272
0,64,8,8,81,50,3,81,544,720,0.113,0.022,1.482,0.136,32.007,0.648,2.090,36.613
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,80,40,2,5,1,3,5,544,720,0.459,0.507,0.145,0.032,9.484,0.040,0.046,10.819
0,80,40,2,81,10,3,81,544,720,0.194,0.021,1.486,0.136,5.416,0.337,2.081,9.792
0,80,40,2,81,50,3,81,544,720,0.184,0.022,1.490,0.137,25.846,0.530,2.088,30.421
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,40,40,1,5,1,3,5,544,720,0.420,0.498,0.156,0.027,8.595,0.034,0.048,9.880
0,40,40,1,81,10,3,81,544,720,0.147,0.022,1.508,0.136,5.282,0.359,2.083,9.654
0,40,40,1,81,50,3,81,544,720,0.150,0.024,1.491,0.132,26.431,0.569,2.101,31.015
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,40,40,1,5,1,3,5,544,720,0.428,0.445,0.149,0.029,8.531,0.036,0.048,9.777
0,40,40,1,81,10,3,81,544,720,0.177,0.021,1.491,0.136,5.361,0.351,2.084,9.741
0,40,40,1,81,50,3,81,544,720,0.152,0.023,1.476,0.136,26.383,0.568,2.092,30.947
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,80,40,2,5,1,3,5,544,720,0.546,0.474,0.153,0.028,9.394,0.038,0.049,10.783
0,80,40,2,81,10,3,81,544,720,0.178,0.022,1.506,0.136,5.337,0.346,2.079,9.736
0,80,40,2,81,50,3,81,544,720,0.185,0.023,1.511,0.136,26.030,0.521,2.087,30.621
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,80,40,2,5,1,3,5,544,720,0.464,0.488,0.149,0.029,9.454,0.040,0.049,10.781
0,80,40,2,81,1,3,81,544,720,0.197,0.022,1.500,0.136,0.623,0.144,2.084,4.822
0,80,40,2,81,2,3,81,544,720,0.297,0.023,1.503,0.136,1.045,0.155,2.082,5.365
0,80,40,2,81,4,3,81,544,720,0.184,0.023,1.502,0.137,2.220,0.319,2.084,6.592
0,80,40,2,81,8,3,81,544,720,0.179,0.023,1.502,0.136,4.237,0.202,2.088,8.493
0,80,40,2,81,10,3,81,544,720,0.180,0.021,1.504,0.136,5.101,0.214,2.093,9.368
w,80,40,2,5,1,3,5,544,720,0.456,0.414,0.150,0.027,9.482,0.034,0.049,10.714
0,80,40,2,81,1,3,81,544,720,0.180,0.023,1.509,0.136,0.607,0.143,2.079,4.800
0,80,40,2,81,2,3,81,544,720,0.197,0.022,1.506,0.136,1.095,0.151,2.080,5.315
0,80,40,2,81,4,3,81,544,720,0.217,0.042,1.497,0.134,2.124,0.302,2.084,6.541
0,80,40,2,81,5,3,81,544,720,0.190,0.023,1.497,0.136,2.588,0.174,2.086,6.823
0,80,40,2,81,8,3,81,544,720,0.178,0.022,1.497,0.136,4.117,0.197,2.088,8.361
0,80,40,2,81,10,3,81,544,720,0.182,0.023,1.497,0.136,5.561,0.212,2.090,9.829
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,40,40,1,5,1,3,5,544,720,0.418,0.433,0.150,0.031,8.620,0.038,0.045,9.835
0,40,40,1,81,1,3,81,544,720,0.149,0.020,1.485,0.136,0.576,0.145,2.080,4.703
0,40,40,1,81,2,3,81,544,720,0.156,0.023,1.489,0.136,1.089,0.153,2.082,5.242
0,40,40,1,81,4,3,81,544,720,0.158,0.024,1.498,0.137,2.250,0.281,2.083,6.548
0,40,40,1,81,5,3,81,544,720,0.153,0.020,1.498,0.136,2.661,0.180,2.089,6.852
0,40,40,1,81,8,3,81,544,720,0.165,0.022,1.495,0.137,4.340,0.206,2.090,8.567
0,40,40,1,81,10,3,81,544,720,0.149,0.023,1.497,0.136,5.305,0.230,2.096,9.544
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,32,8,4,5,1,3,5,544,720,0.369,0.465,0.143,0.032,12.621,0.038,0.048,13.813
0,32,8,4,81,1,3,81,544,720,0.096,0.020,1.492,0.136,1.227,0.148,2.080,5.313
0,32,8,4,81,2,3,81,544,720,0.099,0.022,1.494,0.137,1.385,0.161,2.081,5.495
0,32,8,4,81,4,3,81,544,720,0.098,0.022,1.474,0.137,2.804,0.322,2.086,7.057
0,32,8,4,81,5,3,81,544,720,0.094,0.021,1.494,0.136,3.516,0.197,2.085,7.664
0,32,8,4,81,8,3,81,544,720,0.095,0.022,1.499,0.136,5.640,0.235,2.089,9.842
0,32,8,4,81,10,3,81,544,720,0.095,0.022,1.478,0.137,7.077,0.263,2.093,11.278
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,24,8,3,5,1,3,5,544,720,0.427,0.406,0.130,0.027,12.217,0.034,0.047,13.391
0,24,8,3,81,1,3,81,544,720,0.135,0.022,1.508,0.136,1.346,0.151,2.079,5.490
0,24,8,3,81,2,3,81,544,720,0.150,0.027,1.491,0.136,1.621,0.165,2.089,5.789
0,24,8,3,81,4,3,81,544,720,0.140,0.032,1.519,0.132,3.214,0.323,2.089,7.569
0,24,8,3,81,5,3,81,544,720,0.138,0.024,1.511,0.136,4.005,0.210,2.088,8.226
0,24,8,3,81,8,3,81,544,720,0.136,0.023,1.512,0.136,7.130,0.256,2.093,11.400
0,24,8,3,81,10,3,81,544,720,0.136,0.023,1.510,0.137,7.990,0.286,2.096,12.294
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,16,8,2,5,1,3,5,544,720,0.375,0.453,0.152,0.029,11.675,0.033,0.047,12.865
0,16,8,2,81,1,3,81,544,720,0.086,0.022,1.502,0.136,0.947,0.153,2.081,5.037
0,16,8,2,81,2,3,81,544,720,0.091,0.023,1.506,0.136,1.739,0.171,2.084,5.861
0,16,8,2,81,4,3,81,544,720,0.098,0.025,1.506,0.136,3.479,0.341,2.086,7.783
0,16,8,2,81,5,3,81,544,720,0.093,0.023,1.508,0.136,4.426,0.224,2.094,8.619
0,16,8,2,81,8,3,81,544,720,0.091,0.023,1.508,0.136,6.975,0.277,2.096,11.213
0,16,8,2,81,10,3,81,544,720,0.092,0.022,1.506,0.136,8.721,0.312,2.094,12.999
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,8,8,1,5,1,3,5,544,720,0.362,0.437,0.144,0.031,11.548,0.036,0.045,12.704
0,8,8,1,81,1,3,81,544,720,0.086,0.019,1.481,0.136,1.319,0.165,2.081,5.389
0,8,8,1,81,2,3,81,544,720,0.093,0.021,1.487,0.137,2.607,0.196,2.085,6.730
0,8,8,1,81,4,3,81,544,720,0.087,0.020,1.487,0.137,5.193,0.383,2.091,9.499
0,8,8,1,81,5,3,81,544,720,0.086,0.020,1.487,0.137,6.488,0.286,2.093,10.694
0,8,8,1,81,8,3,81,544,720,0.085,0.020,1.486,0.137,10.395,0.376,2.098,14.698
0,8,8,1,81,10,3,81,544,720,0.086,0.020,1.473,0.137,12.996,0.436,2.092,17.345
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,20,5,4,5,1,3,5,544,720,0.351,0.355,0.115,0.031,7.659,0.035,0.046,8.692
0,20,5,4,81,1,3,81,544,720,0.102,0.021,1.494,0.136,1.521,0.155,2.077,5.619
0,20,5,4,81,2,3,81,544,720,0.106,0.022,1.496,0.136,2.025,0.176,2.080,6.155
0,20,5,4,81,4,3,81,544,720,0.106,0.022,1.495,0.137,4.034,0.321,2.086,8.310
0,20,5,4,81,5,3,81,544,720,0.105,0.021,1.493,0.136,5.052,0.237,2.090,9.246
0,20,5,4,81,8,3,81,544,720,0.107,0.020,1.494,0.137,8.123,0.297,2.091,12.384
0,20,5,4,81,10,3,81,544,720,0.103,0.022,1.495,0.136,10.084,0.339,2.093,14.382
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,20,5,4,5,1,3,5,544,720,0.358,0.387,0.117,0.032,7.581,0.036,0.045,8.654
0,20,5,4,81,1,3,81,544,720,0.103,0.019,1.477,0.136,1.512,0.156,2.079,5.591
0,20,5,4,81,2,3,81,544,720,0.109,0.021,1.477,0.136,2.039,0.177,2.081,6.157
0,20,5,4,81,4,3,81,544,720,0.105,0.022,1.482,0.136,4.087,0.313,2.086,8.346
0,20,5,4,81,5,3,81,544,720,0.104,0.020,1.484,0.136,5.052,0.237,2.088,9.233
0,20,5,4,81,8,3,81,544,720,0.106,0.021,1.484,0.136,8.049,0.298,2.090,12.289
0,20,5,4,81,10,3,81,544,720,0.109,0.020,1.481,0.137,10.080,0.341,2.095,14.371
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,16,8,2,5,1,3,5,544,720,0.362,0.484,0.152,0.028,12.098,0.033,0.047,13.306
0,16,8,2,81,1,3,81,544,720,0.088,0.022,1.503,0.136,0.951,0.153,2.080,5.046
0,16,8,2,81,2,3,81,544,720,0.095,0.022,1.504,0.136,1.742,0.171,2.081,5.867
0,16,8,2,81,4,3,81,544,720,0.095,0.024,1.504,0.136,3.480,0.346,2.086,7.781
0,16,8,2,81,5,3,81,544,720,0.090,0.022,1.506,0.136,4.458,0.223,2.090,8.641
0,16,8,2,81,8,3,81,544,720,0.095,0.022,1.486,0.136,6.998,0.277,2.094,11.221
0,16,8,2,81,10,3,81,544,720,0.091,0.022,1.484,0.136,8.726,0.314,2.096,12.981
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,16,8,2,5,1,3,5,544,720,0.369,0.472,0.154,0.028,12.041,0.032,0.048,13.245
0,16,8,2,81,1,3,81,544,720,0.087,0.022,1.506,0.136,0.951,0.153,2.079,5.048
0,16,8,2,81,2,3,81,544,720,0.100,0.023,1.485,0.137,1.782,0.171,2.084,5.892
0,16,8,2,81,4,3,81,544,720,0.101,0.023,1.506,0.136,3.481,0.336,2.085,7.782
0,16,8,2,81,5,3,81,544,720,0.091,0.022,1.486,0.136,4.377,0.224,2.089,8.538
0,16,8,2,81,8,3,81,544,720,0.091,0.022,1.507,0.136,6.967,0.279,2.093,11.207
0,16,8,2,81,10,3,81,544,720,0.090,0.022,1.508,0.136,8.677,0.313,2.097,12.951
w,24,8,3,5,1,3,5,544,720,0.420,0.456,0.124,0.028,12.224,0.036,0.048,13.438
0,24,8,3,81,1,3,81,544,720,0.137,0.022,1.504,0.136,1.319,0.150,2.076,5.459
0,24,8,3,81,2,3,81,544,720,0.150,0.024,1.483,0.136,1.651,0.167,2.082,5.808
0,24,8,3,81,4,3,81,544,720,0.137,0.024,1.500,0.136,3.221,0.321,2.089,7.539
0,24,8,3,81,5,3,81,544,720,0.138,0.022,1.502,0.136,4.006,0.211,2.089,8.220
0,24,8,3,81,8,3,81,544,720,0.137,0.022,1.483,0.137,6.510,0.259,2.092,10.750
0,24,8,3,81,10,3,81,544,720,0.147,0.022,1.504,0.137,8.089,0.289,2.095,12.393
