#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
0,24,8,3,81,10,3,81,544,720,0.142,0.023,1.683,0.156,9.167,0.464,2.363,14.107
0,24,8,3,81,50,3,81,544,720,0.143,0.023,1.685,0.156,43.162,0.985,2.364,48.626
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,24,8,3,5,1,3,5,544,720,0.408,0.445,0.145,0.041,12.537,0.049,0.051,13.780
0,24,8,3,81,10,3,81,544,720,0.144,0.021,1.669,0.156,9.248,0.431,2.365,14.141
0,24,8,3,81,50,3,81,544,720,0.149,0.022,1.673,0.157,43.264,0.995,2.367,48.732
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,4,4,1,5,1,3,5,544,720,0.322,0.373,0.139,0.041,4.382,0.045,0.048,5.457
0,4,4,1,81,10,3,81,544,720,0.087,0.020,1.675,0.156,25.212,0.854,2.362,30.468
0,4,4,1,81,50,3,81,544,720,0.092,0.021,1.676,0.156,126.964,3.248,2.362,134.624
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,2,2,1,5,1,3,5,544,720,0.288,0.381,0.141,0.041,1.334,0.047,0.046,2.385
0,2,2,1,81,10,3,81,544,720,0.083,0.019,1.649,0.157,48.879,1.452,2.363,54.699
0,2,2,1,81,50,3,81,544,720,0.089,0.022,1.667,0.157,244.999,6.296,2.363,255.695
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,16,8,2,5,1,3,5,544,720,0.356,0.480,0.148,0.039,12.259,0.043,0.053,13.485
0,16,8,2,81,10,3,81,544,720,0.096,0.023,1.685,0.156,9.719,0.476,2.364,14.620
0,16,8,2,81,50,3,81,544,720,0.103,0.023,1.688,0.156,48.195,1.134,2.363,53.773
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,40,40,1,5,1,3,5,544,720,0.455,0.477,0.153,0.039,8.581,0.045,0.053,9.924
0,40,40,1,81,10,3,81,544,720,0.180,0.021,1.681,0.156,5.592,0.357,2.363,10.456
0,40,40,1,81,50,3,81,544,720,0.156,0.022,1.686,0.157,27.054,0.593,2.366,32.141
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,40,40,1,5,1,3,5,544,720,0.458,0.508,0.156,0.036,8.579,0.043,0.052,9.941
0,40,40,1,81,10,3,81,544,720,0.154,0.024,1.685,0.156,5.560,0.372,2.364,10.430
0,40,40,1,81,50,3,81,544,720,0.163,0.022,1.689,0.149,27.186,0.597,2.366,32.299
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,10,10,1,5,1,3,5,544,720,0.367,0.381,0.126,0.039,5.066,0.043,0.052,6.180
0,10,10,1,81,10,3,81,544,720,0.117,0.023,1.677,0.156,12.934,0.531,2.364,17.906
0,10,10,1,81,50,3,81,544,720,0.119,0.024,1.679,0.156,64.797,1.564,2.366,70.813
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,10,10,1,5,1,3,5,544,720,0.367,0.435,0.147,0.039,4.908,0.043,0.051,6.097
0,10,10,1,81,10,3,81,544,720,0.116,0.022,1.672,0.156,12.944,0.532,2.364,17.909
0,10,10,1,81,50,3,81,544,720,0.120,0.023,1.673,0.157,64.634,1.574,2.366,70.653
#run_id,world_size,ulysses_size,ring_size,num_frames,sampling_steps,colors,frames,height,width,txt_enc,img_enc,vae_enc,sched_setup,dit,sched,vae_dec,total
w,20,20,1,5,1,3,5,544,720,0.392,0.375,0.121,0.036,7.991,0.043,0.048,9.120
0,20,20,1,81,10,3,81,544,720,0.125,0.019,1.672,0.157,8.997,0.432,2.365,13.872
0,20,20,1,81,50,3,81,544,720,0.127,0.022,1.672,0.157,44.677,1.000,2.366,50.124
