#run_id,world_size,sampling_steps,colors,frames,width,height,txt_enc,img_enc,vae_enc,sched_setup,dit,dit_cond,dit_uncond,sched,vae_dec,output,total_time
3,1,10,3,5,640,400,0.12,0.03,0.14,0,5.9,2.99,3,0,0.22,0.31,6.78
3,1,10,3,21,640,400,0.12,0.03,0.55,0,18.6,9.3,9.3,0,0.89,0.43,20.64
3,1,10,3,41,640,400,0.12,0.03,1.06,0,37.25,18.6,18.6,0,1.73,0.54,40.79
3,1,10,3,61,640,400,0.12,0.03,1.57,0,60.61,30.3,30.3,0,2.57,0.69,65.65
3,1,10,3,81,640,400,0.12,0.03,2.07,0,87.45,43.71,43.7,0,3.41,0.69,93.81
1,1,10,3,81,640,400,0.12,0.03,2.08,0,87.39,43.69,43.7,0,3.41,0.7,93.76
2,1,10,3,81,640,400,0.12,0.03,2.08,0,87.42,43.7,43.7,0,3.41,0.7,93.79
3,1,10,3,81,640,400,0.12,0.03,2.08,0,87.41,43.71,43.7,0,3.41,0.71,93.8

2,8,10,3,81,640,400,0.17,0.03,2.16,0,15.39,7.7,7.7,0.04,3.45,0.5,21.78
3,8,10,3,81,640,400,0.18,0.04,2.16,0,15.4,7.7,7.7,0.01,3.46,0.51,21.81
1,8,10,3,81,640,400,0.24,0.04,2.15,0,15.32,7.67,7.7,0,3.45,0.5,21.76
2,8,10,3,81,640,400,0.19,1.86,2.14,0,15.4,7.7,7.7,0,3.45,0.51,23.57
3,8,10,3,81,640,400,0.17,0.03,2.17,0,15.39,7.69,7.7,1.54,3.45,0.51,23.31
1,8,10,3,81,640,400,0.18,0.05,2.15,0,15.33,7.68,7.7,1.07,3.44,0.51,22.76
2,8,10,3,81,640,400,0.18,0.03,2.16,0,15.4,7.7,7.7,0,3.45,0.51,21.75
3,8,10,3,81,640,400,0.18,0.04,2.15,0,15.4,7.7,7.7,0,3.46,0.51,21.79

2,4,10,3,81,640,400,0.17,0.03,2.15,0,28.23,14.1,14.1,0,3.46,0.51,34.6
3,4,10,3,81,640,400,0.19,0.05,2.15,0,28.3,14.14,14.15,0.01,3.46,0.51,34.71
1,4,10,3,81,640,400,0.18,0.04,2.14,0,28.26,14.1,14.1,0,3.45,0.51,34.6
2,4,10,3,81,640,400,0.17,0.04,2.14,0,28.48,14.37,14.19,0,3.46,0.51,34.86
3,4,10,3,81,640,400,0.18,0.04,2.15,0,28.35,14.2,14.2,0,3.46,0.51,34.73
1,4,10,3,81,640,400,0.82,0.04,2.13,0,28.21,14.12,14.09,0,3.45,0.51,35.2
2,4,10,3,81,640,400,0.17,0.03,2.14,0,28.45,14.12,14.29,0.01,3.46,0.51,34.81
3,4,10,3,81,640,400,0.17,0.03,2.14,0,28.3,14.16,14.16,0,3.46,0.51,34.66
1,4,10,3,81,640,400,0.91,0.96,2.13,0,28.15,14.06,14.08,0,3.45,0.51,36.14
2,4,10,3,81,640,400,0.17,0.03,2.14,0,28.51,14.11,14.39,0,3.46,0.51,34.86
3,4,10,3,81,640,400,0.17,0.03,2.15,0,28.31,14.15,14.18,0,3.46,0.52,34.69

3,2,10,3,81,640,400,0.16,0.04,2.15,0,53.41,26.69,26.7,0.07,3.46,0.5,59.83
1,2,10,3,81,640,400,0.16,0.04,2.16,0,53.5,26.73,26.73,0.11,3.46,0.5,59.95
2,2,10,3,81,640,400,0.16,0.03,2.16,0,53.5,26.71,26.71,0.01,3.46,0.5,59.84
3,2,10,3,81,640,400,0.16,0.03,2.15,0,53.5,26.78,26.75,0.07,3.46,0.51,59.93
1,2,10,3,81,640,400,1.02,0.03,2.13,0,53.02,26.5,26.53,1.96,3.45,0.5,62.15
2,2,10,3,81,640,400,0.16,0.03,2.15,0,53.28,26.61,26.63,0.28,3.45,0.51,59.89
3,2,10,3,81,640,400,0.16,0.03,2.16,0,53.34,26.69,26.7,0.37,3.45,0.51,60.07
1,2,10,3,81,640,400,0.16,0.03,2.14,0,53.03,26.51,26.52,0,3.45,0.51,59.34
2,2,10,3,81,640,400,0.16,0.03,2.15,0,53.33,26.67,26.68,1.75,3.46,0.51,61.42
3,2,10,3,81,640,400,0.16,0.03,2.16,0,53.4,26.7,26.7,0,3.46,0.51,59.75
