num_a100,num_h100,num_h200,ttff_s,tbf_s,cost,num_a100_config,num_h100_config,num_h200_config
32,512,0,42.17537073771015,0.00850734194150632,92.58346220073639,32,512,0
32,768,0,42.145563921566655,0.007284071547201368,123.50488060847358,32,768,0
32,1024,0,37.040487344961434,0.007405884053592551,160.25384559403972,32,1024,0
32,1536,0,36.52147679004224,0.0068903837554631945,226.59557758120994,32,1536,0
41,8,0,2889.474302210661,0.25030160440663135,73.77330253923706,40,8,0
40,16,0,1166.2067430029451,0.12508445305458787,52.63296094148777,40,16,0
40,32,0,354.33954987653624,0.06591605226022898,45.53260030188719,40,32,0
40,40,0,187.93052080308632,0.05397043201027183,44.64939617884156,40,40,0
40,64,0,47.39698492244144,0.035197310642686046,44.29806806239585,40,64,0
40,80,0,45.168519184718285,0.02976292795070258,46.00666757557895,40,80,0
40,96,0,44.37088758618248,0.024418251794444554,45.28222093662713,40,96,0
40,108,0,44.335244881915315,0.021849605071453122,45.694227089448624,40,108,0
40,128,0,44.2909839328693,0.018670745137409326,46.62372309342597,40,128,0
40,160,0,44.24240727018511,0.015234814147704886,48.37343495894897,40,160,0
40,256,0,44.15301456906865,0.010188803338973443,54.90097237281962,40,256,0
40,512,0,42.02336100284671,0.00660085739787645,77.56936059459026,40,512,0
40,768,0,41.993980061705244,0.0053829104410968625,100.97526525003414,40,768,0
40,1024,0,36.888880112275345,0.005504430787179634,130.19288038743846,40,1024,0
40,1536,0,36.37001882686201,0.004990796357873511,181.5218001232198,40,1536,0
65,8,0,2834.019791431225,0.24665258315397012,97.09690960271787,64,8,0
64,16,0,1135.2876462287516,0.1230250982158782,64.08995706738189,64,16,0
64,32,0,331.2020485751307,0.06442058115143147,51.07125901963161,64,32,0
64,40,0,167.54577624031447,0.05253741992909746,48.96942052413207,64,40,0
64,64,0,46.700929119273724,0.0341113361351596,46.666900454358824,64,64,0
64,80,0,45.08686220557733,0.028742215711440637,47.71233959536286,64,80,0
64,96,0,44.197953593989226,0.02224930505450116,44.202607124809184,64,96,0
64,108,0,44.162310889722065,0.01968065833150973,43.96089575214291,64,108,0
64,128,0,44.11804994067605,0.016501798397465933,43.90884390576331,64,128,0
64,160,0,44.06947327799186,0.013065867407761493,44.24974623081929,64,160,0
64,256,0,43.9800805768754,0.008019856599030052,47.066224008117494,64,256,0
64,512,0,41.850427010653455,0.004431910657933057,60.79074481103927,64,512,0
64,768,0,41.821046069511986,0.0032139637011534697,75.49971421295568,64,768,0
64,1024,0,36.715946120082094,0.0033354840472362415,96.11528007319299,64,1024,0
64,1536,0,36.19708483466876,0.0028218496179301163,130.2351775137279,64,1536,0
81,8,0,2806.4840055799573,0.24482886490948208,112.5180591954202,80,8,0
81,16,0,906.0226275037421,0.10631638242227766,63.23203337421962,80,16,0
80,32,0,322.416092473287,0.06382806098771567,54.97599911140791,80,32,0
80,40,0,159.47518109708585,0.051952594194080895,52.06624297076689,80,40,0
80,64,0,45.07241870690259,0.033754955980520425,48.492658688397924,80,64,0
80,80,0,45.05492986479732,0.028343061451690542,49.177796404625724,80,80,0
80,96,0,44.159043445745745,0.0217612920380139,44.98061706765095,80,96,0
80,108,0,44.123400741478584,0.019192645315022468,44.4806756045596,80,108,0
80,128,0,44.07913979243257,0.01601378538097867,44.070227846664444,80,128,0
80,160,0,44.03056312974838,0.012577854391274231,43.945474726698265,80,160,0
80,256,0,43.94117042863192,0.007531843582542788,45.708565492149056,80,256,0
80,512,0,41.811516862409974,0.003943897641445793,57.25891533815175,80,512,0
80,768,0,41.782135921268505,0.0027259506846662074,69.9583352266967,80,768,0
80,1024,0,36.67703597183861,0.002847471030748979,88.62760889113622,80,1024,0
80,1536,0,36.158174686425276,0.002333836601442854,118.85163944613386,80,1536,0
97,8,0,2792.99580258456,0.24385145889532284,128.2081163959938,96,8,0
97,16,0,887.3283713957915,0.10495491842259862,69.5202069596583,96,16,0
96,32,0,316.1924177434877,0.06349301209425195,58.962072039669785,96,32,0
96,40,0,153.65264378949894,0.051646613229763,55.251112708034604,96,40,0
96,64,0,45.044712590579884,0.033408629526486655,50.43060627778771,96,64,0
96,80,0,45.032089751409224,0.028057560034339273,50.77607458949776,96,80,0
96,96,0,44.14391172142883,0.021571509198268852,46.25428243734814,96,96,0
96,108,0,44.10826901716167,0.01900286247527742,45.551395719461006,96,108,0
96,128,0,44.064008068115655,0.015824002541233628,44.874693442765754,96,128,0
96,160,0,44.015431405431464,0.012388071551529186,44.43171110612215,96,160,0
96,256,0,43.926038704315005,0.007342060742797741,45.58369354475978,96,256,0
96,512,0,41.796385138093065,0.0037541148017007473,56.13928226060138,96,512,0
96,768,0,41.767004196951596,0.0025361678449211597,68.00856246253282,96,768,0
96,1024,0,36.661904247521704,0.002657688191003932,85.91095375793248,96,1024,0
96,1536,0,36.14304296210837,0.0021440537616978068,114.59793708090879,96,1536,0
109,8,0,2786.042651249249,0.24339175067121085,140.0222693031877,108,8,0
109,16,0,880.6163097183799,0.10451268046355182,74.48733884808216,108,16,0
108,32,0,312.6587347750859,0.06323694811103443,61.989809396445565,108,32,0
108,40,0,150.38907099865344,0.05141012244781768,57.68824424710758,108,40,0
108,64,0,45.0290600514404,0.03321297278724312,51.94598936630098,108,64,0
108,80,0,45.01886394558068,0.027892237461482467,52.03212514033943,108,80,0
108,96,0,44.133103346916755,0.02143595002702239,47.206239067461965,108,96,0
108,108,0,44.097460642649594,0.01886730330403096,46.35239988201501,108,108,0
108,128,0,44.05319969360358,0.015688443369987162,45.47810083878141,108,128,0
108,160,0,44.00462303091939,0.01225251238028272,44.79979718572849,108,160,0
108,256,0,43.91523032980293,0.007206501571551279,45.50350016755248,108,256,0
108,512,0,41.78557676358099,0.0036185556304542846,55.33982280456321,108,512,0
108,768,0,41.75619582243952,0.0024006086736746974,66.61330301032447,108,768,0
108,1024,0,36.65109587300962,0.00252212901975747,83.96733729773419,108,1024,0
108,1536,0,36.13223458759629,0.0020084945904513454,111.55514473427442,108,1536,0
129,8,0,2764.7999329126455,0.2417963663536381,159.14569016028784,128,8,0
129,16,0,872.6985212884106,0.10405486970775694,82.84338265169889,128,16,0
128,32,0,308.29310739866014,0.0629205983011485,67.09258419984769,128,32,0
128,40,0,146.3127633063458,0.05111473783243307,61.811281529838915,128,40,0
128,64,0,45.009039479434776,0.03296271563717278,54.543622449641205,128,64,0
128,80,0,45.001595608033924,0.027676383242147995,54.19447280288284,128,80,0
128,96,0,44.12165918566867,0.02129241678687908,48.9286374977956,128,96,0
128,108,0,44.08601648140151,0.01872377006388765,47.83848564274814,128,108,0
128,128,0,44.041755532355495,0.015544910129843851,46.66031661583811,128,128,0
128,160,0,43.993178869671304,0.012108979140139408,45.63054350565637,128,160,0
128,256,0,43.903786168554845,0.007062968331407966,45.70931227011772,128,256,0
128,512,0,41.774132602332905,0.0034750223903109723,54.67272000417054,128,512,0
128,768,0,41.74475166119144,0.002257075433531385,65.27906211140841,128,768,0
128,1024,0,36.639651711761545,0.002378595779614157,82.0450299472618,128,1024,0
128,1536,0,36.12079042634821,0.0018649613503080324,108.45260136326233,128,1536,0
161,8,0,2736.9421395463023,0.23981208152233663,189.56612137739288,160,8,0
161,16,0,842.8105166141984,0.10175827694412577,94.88483050233653,160,16,0
160,32,0,303.6884842830822,0.06258692995943996,75.34753762289165,160,32,0
160,40,0,141.95920674525973,0.050799262719310886,68.50756675614565,160,40,0
160,64,0,44.98706220814123,0.0326879997460035,58.82119711181846,160,64,0
160,80,0,44.98216600629862,0.027433513220456725,57.77450441782785,160,80,0
160,96,0,44.1077271632797,0.021117680668443738,51.752976137730464,160,96,0
160,108,0,44.07208445901254,0.018549033945452306,50.294904339110694,160,108,0
160,128,0,44.027823509966524,0.01537017401140851,48.647510551299284,160,128,0
160,160,0,43.97924684728233,0.011934243021704071,47.082533850480765,160,160,0
160,256,0,43.889854146165874,0.006888232212972629,46.24285048946997,160,256,0
160,512,0,41.760200579943934,0.0033002862718756335,54.02677470494507,160,512,0
160,768,0,41.730819638802465,0.0020823393150960464,63.78287618070041,160,768,0
160,1024,0,36.62571968937257,0.002203859661178818,79.82511802021857,160,1024,0
160,1536,0,36.10685840395924,0.0016902252318726936,104.77867245566544,160,1536,0
257,8,0,2696.6456654574768,0.2369978807049791,281.3412354995835,256,8,0
