num_a100,num_h100,num_h200,num_gb200,ttff_s,tbf_s,cost,total_time,energy
768,225,0,0,63.73,0.03,205.32,420.76,0.0
768,225,0,0,63.73,0.03,205.32,420.76,0.0
768,225,0,0,63.73,0.03,205.32,420.76,0.0
768,225,0,0,63.73,0.03,205.32,420.76,0.0
768,225,0,0,63.73,0.03,205.32,420.76,0.0
768,225,0,0,63.73,0.03,205.32,420.76,0.0
1024,0,0,0,149.95,0.05,228.25,749.95,0.0
1024,8,0,0,92.83,0.04,202.74,647.09,0.0
1024,16,0,0,118.11,0.05,231.42,718.11,0.0
1024,32,0,0,101.2,0.04,216.5,636.42,0.0
1024,48,0,0,88.85,0.03,182.43,509.46,0.0
1024,64,0,0,80.48,0.04,247.03,656.99,0.0
1024,72,0,0,72.11,0.03,204.53,531.31,0.0
1024,96,0,0,63.73,0.03,180.15,437.46,0.0
1024,126,0,0,63.73,0.03,188.4,420.87,0.0
924,192,0,0,67.92,0.02,195.48,398.33,0.0
777,220,0,0,63.73,0.03,203.75,421.17,0.0
777,220,0,0,63.73,0.03,203.75,421.17,0.0
777,220,0,0,63.73,0.03,203.75,421.17,0.0
777,220,0,0,63.73,0.03,203.75,421.17,0.0
777,220,0,0,63.73,0.03,203.75,421.17,0.0
777,220,0,0,63.73,0.03,203.75,421.17,0.0
777,220,0,0,63.73,0.03,203.75,421.17,0.0
1902,0,0,0,93.56,0.02,232.89,411.53,0.0
1739,8,0,0,88.64,0.02,202.74,384.48,0.0
2048,16,0,0,88.85,0.03,289.09,461.34,0.0
1728,32,0,0,88.64,0.02,227.11,413.36,0.0
1575,48,0,0,88.85,0.02,166.07,318.05,0.0
1327,64,0,0,80.48,0.02,183.65,393.8,0.0
1189,72,0,0,72.11,0.03,180.66,415.41,0.0
1295,96,0,0,63.73,0.02,182.47,370.37,0.0
1054,106,0,0,63.73,0.03,186.27,424.06,0.0
924,192,0,0,67.92,0.02,195.48,398.33,0.0
777,220,0,0,63.73,0.03,203.75,421.17,0.0
777,220,0,0,63.73,0.03,203.75,421.17,0.0
777,220,0,0,63.73,0.03,203.75,421.17,0.0
777,220,0,0,63.73,0.03,203.75,421.17,0.0
777,220,0,0,63.73,0.03,203.75,421.17,0.0
777,220,0,0,63.73,0.03,203.75,421.17,0.0
777,220,0,0,63.73,0.03,203.75,421.17,0.0
1902,0,0,0,93.56,0.02,232.89,411.53,0.0
1739,8,0,0,88.64,0.02,202.74,384.48,0.0
2864,16,0,0,88.64,0.01,252.84,290.91,0.0
1728,32,0,0,88.64,0.02,227.11,413.36,0.0
1575,48,0,0,88.85,0.02,166.07,318.05,0.0
1327,64,0,0,80.48,0.02,183.65,393.8,0.0
1189,72,0,0,72.11,0.03,180.66,415.41,0.0
1295,96,0,0,63.73,0.02,182.47,370.37,0.0
1054,106,0,0,63.73,0.03,186.27,424.06,0.0
924,192,0,0,67.92,0.02,195.48,398.33,0.0
777,220,0,0,63.73,0.03,203.75,421.17,0.0
777,220,0,0,63.73,0.03,203.75,421.17,0.0
777,220,0,0,63.73,0.03,203.75,421.17,0.0
777,220,0,0,63.73,0.03,203.75,421.17,0.0
777,220,0,0,63.73,0.03,203.75,421.17,0.0
777,220,0,0,63.73,0.03,203.75,421.17,0.0
777,220,0,0,63.73,0.03,203.75,421.17,0.0
0,0,8,0,22825.69,1.69,219.68,23425.69,0.0
0,0,16,0,7813.35,0.6,157.8,8413.35,0.0
0,0,32,0,3120.39,0.26,139.56,3720.39,0.0
0,0,48,0,1846.4,0.17,137.65,2446.4,0.0
0,0,64,0,1540.73,0.15,160.6,2140.73,0.0
0,0,72,0,934.49,0.1,129.51,1534.49,0.0
0,0,96,0,603.25,0.08,135.41,1203.25,0.0
0,0,128,0,413.96,0.06,152.14,1013.96,0.0
