num_a100,num_h100,num_h200,num_gb200,ttff_s,tbf_s,cost,total_time,energy
128,479,0,0,158.85,0.03,345.15,599.87,0.0
128,509,0,0,158.15,0.03,375.57,614.49,0.0
128,763,0,0,158.4,0.03,538.7,600.04,0.0
128,1022,0,0,137.31,0.03,715.71,604.3,0.0
128,2039,0,0,101.88,0.04,1379.91,594.35,0.0
128,4094,0,0,89.05,0.04,2745.62,593.87,0.0
192,0,0,0,880.37,0.07,84.48,1480.37,0.0
192,5,0,0,855.68,0.09,96.11,1455.68,0.0
192,16,0,0,642.97,0.07,93.2,1242.97,0.0
192,32,0,0,458.12,0.06,98.29,1058.12,0.0
192,48,0,0,318.21,0.05,101.74,918.21,0.0
192,64,0,0,279.3,0.04,106.02,823.69,0.0
192,72,0,0,279.3,0.04,108.53,788.37,0.0
192,96,0,0,279.3,0.03,112.21,681.97,0.0
192,127,0,0,277.63,0.03,126.75,632.64,0.0
192,192,0,0,277.63,0.02,166.88,613.55,0.0
192,255,0,0,276.43,0.02,210.28,611.91,0.0
192,479,0,0,157.52,0.03,353.08,594.01,0.0
192,509,0,0,156.82,0.03,382.15,606.37,0.0
192,763,0,0,157.06,0.03,544.31,593.7,0.0
192,1022,0,0,135.97,0.03,718.7,597.24,0.0
192,2039,0,0,100.55,0.04,1380.89,589.94,0.0
192,4094,0,0,87.71,0.04,2736.47,589.46,0.0
255,0,0,0,595.7,0.05,90.98,1195.7,0.0
255,5,0,0,585.42,0.07,100.81,1185.42,0.0
255,16,0,0,446.43,0.06,98.36,1046.43,0.0
255,32,0,0,297.38,0.05,100.43,897.38,0.0
255,48,0,0,279.3,0.04,102.95,792.99,0.0
255,64,0,0,279.3,0.03,106.89,723.53,0.0
255,72,0,0,279.3,0.03,108.9,695.03,0.0
255,96,0,0,279.3,0.03,115.73,630.46,0.0
255,127,0,0,277.63,0.03,138.26,630.24,0.0
255,192,0,0,277.63,0.02,178.62,613.75,0.0
255,255,0,0,276.43,0.02,222.23,612.76,0.0
